video_id,comment_id,text,author,published_at,like_count
Dhnxer0lClw,Ugz7xJsIDpLk1jPXRkp4AaABAg,This is why I hate the new prime minister,@kaydenandrade3138,2023-02-16 17:47:46+00:00,0
Dhnxer0lClw,UgxcMr-_Gv48ZvR-j3t4AaABAg,"If I were Rishi Sunk I would strengthen maths lower down the years (i.e year 5-8). People who are good at maths are usually (not always) only ever good at maths because their parents drilled it into them or they got tutored at a young age. Once you are doing a levels you can have a much better chance of achieving good grades because your foundations are much stronger and you have a better understanding of how maths ""works"". Forcing people to do maths at a level isn't right even if it is a very powerful subject",@thatanimetamilian5356,2023-02-01 13:07:07+00:00,0
Dhnxer0lClw,UgzSW-Nyw-8aYqfjwvR4AaABAg,even in college after year 11?,@isaacmorgan8119,2023-01-24 15:33:12+00:00,0
Dhnxer0lClw,UgxekyOGchzMqChk4uJ4AaABAg,"Go look at Singapore. Every primary teacher there is qualified in Maths, so students grow up to continue with the subject because of the strong grades they’ve had. Some GCSE students hate Maths, because they fell behind ages ago",@Bahmed07,2023-01-19 18:03:51+00:00,2
Dhnxer0lClw,Ugyr77lg95OliZaMfhB4AaABAg,Well British IQ today isn't even in the top 10...,@ramyagoncillo9674,2023-01-15 13:20:30+00:00,2
Dhnxer0lClw,Ugypg5_sy1qoqxAbMl14AaABAg,私は数学が嫌いな日本の学生です。どうやら亡命先を変更しなければならないようだ。,@SCP-II45I4-JP,2023-01-12 07:41:08+00:00,0
Dhnxer0lClw,UgyDVJnteJMBbsvFGVt4AaABAg,"Me with Dyscalcuila: well, just looks like I'll be emigrating away from this country sooner !",@fireblademapping131,2023-01-12 07:09:15+00:00,0
Dhnxer0lClw,UgzDjpz9ViWfLy6f0-14AaABAg,Lol good thing I’m almost 18,@ЈАМ,2023-01-11 23:48:55+00:00,0
Dhnxer0lClw,UgzfpyIyZ0O1Eu2LcW54AaABAg,No when will I ever need to use Pythagoras or nth term or straight line graphs,@harry_stw7424,2023-01-09 17:00:25+00:00,1
Dhnxer0lClw,UgyMKSpVeu8e4l9Gk1d4AaABAg,https://youtube.com/@ignitebrainbymanjushamehar8077,@llokeshh,2023-01-09 16:05:45+00:00,0
Dhnxer0lClw,UgxLn3r6PiiTFAOYkYd4AaABAg,"""Hello, ur computer has virus""",@SaSo-mk6yh,2023-01-09 14:45:44+00:00,0
Dhnxer0lClw,Ugx-h8LuYsLCFnRZ-_J4AaABAg,He Wants the Youth generation of UK to be Strong at STEM (Science Technology Engineering Mathematics) bcoz that's the only thing that Can Save UK From an Economic Collapse.... He's Actually a Visionary and a True Leader....,@harekrishna165,2023-01-09 13:33:55+00:00,3
Dhnxer0lClw,UgxPqMqGY3QyRdseOIx4AaABAg,"India has a humongous population, even 10% of Indian students opting for Stem subjects can be beneficial for country. That's why we see so many unicorns in India and it will increase in the coming years, whereas for UK which has been on a declining streak since brexit need its pupils to be Stem graduate because that's how they can create great thinkers like they used to do in early times. In 2021 UK even invited nobel laureates to come and live in UK and educate the children about physics and all but none came because of most of the students are not interested in stem subjects.",@MrAkshat1494,2023-01-09 06:14:52+00:00,2
Dhnxer0lClw,UgwEd3p2FFVUQZ4rHf14AaABAg,as an Indian it should not be compulsory in Britain. I want to see them lacking in  STEM subjects.😃,@rishu7880,2023-01-08 08:20:04+00:00,4
Dhnxer0lClw,Ugxn0K33Nm4eapwd02l4AaABAg,I am working on geometry  and to solve one particular problem i gonna need her @. Pls help me to solve my math question.,@deathseal9844,2023-01-07 14:18:34+00:00,0
Dhnxer0lClw,UgzE05HgJElD0e2RBCx4AaABAg,"Hard time make strong people 
Strong people make good time 
Good time make weak people
weak people make Hard time

I think British people were in last line😞",@0jai0maha0KAL,2023-01-07 13:24:05+00:00,1
Dhnxer0lClw,Ugwdtw4Gu3GBUtMCnGJ4AaABAg,"Hard times create strong men, strong men create good times, good times create weak men, and weak men create hard times.",@Sai_kandalkar,2023-01-07 11:10:13+00:00,2
Dhnxer0lClw,UgyuWpBhTq0IY16AAYV4AaABAg,"Math encompasses the entire universe, from quantum particles to supernovas, from spinning electrons to spinning galaxies.",@itachiofthesharingan67,2023-01-07 09:55:42+00:00,0
Dhnxer0lClw,Ugy0S3crjVx-3kbBv4d4AaABAg,"I'm surprised it's already not the case up until your high school, we in Nepal have compulsory mathematics till High school.",@debishrijal7925,2023-01-07 09:55:36+00:00,6
Dhnxer0lClw,UgwgEJlgHkagQ3M01t14AaABAg,Newton uncle would be ashamed of himself if he conditions of UK students now,@amanverma7033,2023-01-07 09:43:04+00:00,1
Dhnxer0lClw,UgzkHXcT8Xme3V1LuWZ4AaABAg,Can all work out how hard up we are because of people like him!,@JH-si9oe,2023-01-06 16:32:18+00:00,0
Dhnxer0lClw,Ugwqc142uFI9QjKxHhJ4AaABAg,"I want to drop maths as soon as I get out of Y11, not continue it im awful at maths",@Ella13101,2023-01-05 23:00:45+00:00,2
Dhnxer0lClw,UgweqRDWjYOLX39rKNp4AaABAg,Having worked in colleges as a SEN in the UK all I can say is 'Good luck'. You going to need it if you think you can force it on them.,@kris-pq9fd,2023-01-05 18:38:13+00:00,12
Dhnxer0lClw,UgwD2JPwV3NXExtPp2Z4AaABAg,Lowering the standard to let in internationals that are able to do the job. :/,@4ksandknives,2023-01-05 17:03:32+00:00,0
Dhnxer0lClw,UgxEVZj5bXYRPAJVsvd4AaABAg,After watching KSI coudnt figuring out 7 × 8 ......rishi sunak is right,@himvijayhada7851,2023-01-05 13:07:43+00:00,12
Dhnxer0lClw,UgzF7UshtJvLrv55g1l4AaABAg,This is a good idea. What is great about maths is not the content. Whats important is the thinking process that kids learn while they learn content.,@DanielJohnson-vr9mw,2023-01-05 11:39:53+00:00,18
Dhnxer0lClw,Ugxs7zOeqKeLUNBuJNl4AaABAg,It better not be required until 18 cus there's some who are dyslexic,@FreezeDollar,2023-01-05 10:28:02+00:00,0
Dhnxer0lClw,Ugx6wm_Qq8cTC7puvuZ4AaABAg,Will they have to learn what treatments they can afford with privatised health care? ( f the tories),@goblinwisdom,2023-01-05 07:23:53+00:00,0
Dhnxer0lClw,UgzngSwDDhBdL_EWlsF4AaABAg,How about teaching pupils how to evade tax because him and his wife seem to be pretty successful at it.,@Mateyfrommars,2023-01-05 04:08:56+00:00,16
Dhnxer0lClw,Ugyf_LfBI5GYiBIiX2h4AaABAg,You can’t do that. Some people just aren’t good at maths so it’s utterly pointless to make them suffer. I never forgot the profound sense of relief when my maths teacher told me I didn’t have to do it after that year. I was allowed to go to the library to study rather than go to maths class and achieve nothing.,@MrAndrew1953,2023-01-05 03:48:07+00:00,12
Dhnxer0lClw,UgyLwUPYJP1WvjCNxtN4AaABAg,oh god🙄 please no..,@ucouldnev,2023-01-04 21:29:19+00:00,1
Dhnxer0lClw,UgzZWZmiA4AjZuIzf6h4AaABAg,This is the most Indian things a Indian can do,@AshishKumar-wk2tg,2023-01-04 21:28:57+00:00,126
Dhnxer0lClw,Ugw6Hsuq6sXCLFmdvf94AaABAg,"Won’t make a difference if schools still have atrocious maths systems. I want to feel sorry for students but I can’t because school refused to teach me properly when I was teenager which made it given I would need to keep learning it because maths was the only GCSE I refused to do in year 11 however college was no different in the aspect of they expected me to know a lot of stuff that no one had taught me. In the end I just made them give me a functional skills paper, did it and told them to never bother me on the subject again.",@MrPikachufriend,2023-01-04 21:24:10+00:00,14
Dhnxer0lClw,UgyVcXlx045zBc4KjfZ4AaABAg,I'm literally dyslexic wtf this is messed up. I've always struggled with maths. Never wanted to continue it past gcse and now it's mandatory. I'm definitely going 2 protest,@tamatoatheshinyking9444,2023-01-04 21:10:27+00:00,15
Dhnxer0lClw,UgzCpop_e2XAy4uDb1N4AaABAg,"A Level & Scottish Highers are at a level equivalent to US undergraduate first & second year maths.
GCSE/ Standard Grade maths are equivalent to a US high school diploma/ GED level.

I'm not sure how that equates to other countries globally (the IB is also at a similar level to A level), but across the UK,  we go to University with maths at least equivalent to US, if not beyond it.

(Using US higher education equivalents because I know them. Also, much of the higher education institutions across the world are trying to create similar systems - semesters, credits, etc.)",@gmun2248,2023-01-04 20:56:54+00:00,0
Dhnxer0lClw,UgwvmygikUpYh-stfa54AaABAg,Should eating 3 nutritious meals a day be compulsory up to age 18? (What is worrying parents in real world).,@MsColl90,2023-01-04 20:52:45+00:00,0
Dhnxer0lClw,UgwY8OZF-2WIsL7f9xd4AaABAg,All the maths teachers have left for better jobs,@bdcalling1391,2023-01-04 20:40:06+00:00,1
Dhnxer0lClw,Ugw9wb4F0H6Br8jbleZ4AaABAg,Another contract for there friends 😂,@englishjona6458,2023-01-04 20:26:08+00:00,0
Dhnxer0lClw,UgzbuMu1ZuxZ_AWux2p4AaABAg,"Oh the Irony! so many  children in the 1960s  failed their 11 plus because they were excellent at English but  useless at Maths. As a result they   were condemned to a lower level education and ended up in Factories. On the other hand most pupils good at Maths in  left grammar school and worked in retail. in my experience  maths pupils are as thick as two short planks.,",@veganpicks3510,2023-01-04 20:22:23+00:00,0
Dhnxer0lClw,UgyVOxEiMVhnNmYUc6Z4AaABAg,"Would be better off having religious education, p.e. and modern politics as compulsory GCSEs. Help to teach tolerance and understand difference, improve fitness and healthy living and develop an understanding of how the world around them works and how democracy is shaped by social media.",@64offsuiter,2023-01-04 20:22:15+00:00,0
Dhnxer0lClw,UgyZK8xtlrBELgwRoKd4AaABAg,"This cannot work,most young people are not taught maths by actual maths teachers because there are nowhere near enough of them...",@footloose6382,2023-01-04 19:59:58+00:00,1
Dhnxer0lClw,UgzAIsvaJEV0xXIESNR4AaABAg,"No, it doesn't add up, it will cause great divisions in teaching, and subtract from the curriculum, I would suggest the Government look at the root cause of their problems, lest they look 'square' in the eyes of the pupils, this is divisive.",@davidoldboy5425,2023-01-04 19:54:07+00:00,4
Dhnxer0lClw,UgzdG3ixp_mfJgMTmKh4AaABAg,"if government will make brits studi Engles 'till 38 i will whritie dis corectly, i m 37 stil learn. Pliese make engles compulsive till 38 sunak. * you (thank or **uck)? not sre i know.",@jaguarxj1,2023-01-04 19:52:36+00:00,0
Dhnxer0lClw,UgzbrqipdMtWbQrW92Z4AaABAg,The country is on fire and in the toilet and this is Sunaks « big idea ». I an atheist but at this pount god help us.,@petyrkowalski9887,2023-01-04 19:41:38+00:00,0
Dhnxer0lClw,Ugxfib-4Fg8gmZiyFNN4AaABAg,"Sure, I got a D in maths but the amount of people who did better than me and suck worse than me is crazy",@mattyy101,2023-01-04 19:29:19+00:00,10
Dhnxer0lClw,Ugy24C8WOwwbaEd9Ydh4AaABAg,Best teach politics and finances and then young people will realise what liars politicians are,@orange1666,2023-01-04 19:16:51+00:00,12
Dhnxer0lClw,Ugw4XjfO0P2jUKK9cnd4AaABAg,"I thought maths is compulsory until 18yo everywhere in the world, it's a crucial and basic skill that helps to understand logic. I'm shocked that you can currently drop it early in the UK.",@Reelion,2023-01-04 19:09:14+00:00,75
Dhnxer0lClw,UgxO08VoLTV4WlL2wg14AaABAg,"How does this help anyone. The maths taught in schools in this country is so unnecessary, it would make more sense to add accounting and debt management or something that is actually going to help these kids in the real world",@jordaineee,2023-01-04 19:05:30+00:00,12
Dhnxer0lClw,Ugyxr9Ljw16vaOXQm5R4AaABAg,how come older generations could learn maths by the age of 16? studying an extra two years in a broken curriculum wont fix anything.,@cheebee2659,2023-01-04 19:01:34+00:00,50
Dhnxer0lClw,Ugx4NenhbvJFSBMYwGF4AaABAg,"Start maths in kids younger, then add finances as maths subjects to help tackle debt culture in GCSE-age pupils",@sheppo,2023-01-04 18:58:05+00:00,44
Dhnxer0lClw,UgwISC6w5Q1lJjJK1Z14AaABAg,I studied maths until I was 18 and its not worth it for those not doing stem. Really GCSE maths is useless for most.,@microsoftword213,2023-01-04 18:51:42+00:00,11
Dhnxer0lClw,UgysuxTCPAsNt7v2ddB4AaABAg,"Maybe start by getting children to study maths to a proper level at 16. Most children leave school nowadays without knowing how to write their own name, and the only maths they know is when they are ordering their cannabis 😂",@ChrisJones-ht9zn,2023-01-04 18:50:12+00:00,4
Dhnxer0lClw,Ugy7xJGXd0A1_0QVQBF4AaABAg,It's the only country in the world where Oxford students graduate with zero basic math.,@peter_roth_8812,2023-01-04 18:41:20+00:00,163
Dhnxer0lClw,UgwLmgwvvwxDLvsxKqB4AaABAg,Study the Billions that is being stolen from British tax payers to be laundered in Ukraine,@HeywoodJablomi2,2023-01-04 18:31:07+00:00,0
Dhnxer0lClw,Ugw5RxGBvKoQKOnhZgt4AaABAg,It's a dead cat to distract ppl from NHS. They do this every single time.,@exert2020,2023-01-04 18:18:37+00:00,0
Dhnxer0lClw,Ugyxy6auZiZctJ0ldKV4AaABAg,"So they don't know what or who or when or why, but otherwise it's a very clear and firm proposal. Sheesh, what a shower of fools.",@willduffay2207,2023-01-04 18:10:36+00:00,1
Dhnxer0lClw,UgxdeXAauu-P6dnTNyJ4AaABAg,I am divided over this.,@atommachine,2023-01-04 18:03:30+00:00,13
Dhnxer0lClw,Ugzof8scqM8IrxV2wYF4AaABAg,"Why pluralize an abbreviation of a plural word? 
It's the Queens gibberish to an Amurican",@scottgreenman1365,2023-01-04 16:15:21+00:00,0
Dhnxer0lClw,Ugxk-rCkrrpq55lwcmd4AaABAg,"wth, brits drop math before 18? lol",@walbermr,2023-01-04 16:10:37+00:00,26
Dhnxer0lClw,Ugx8hgXCPyHJwFS5hTV4AaABAg,"If the host was my maths teacher, I would study maths forever",@corruptsociety9146,2023-01-04 15:47:48+00:00,73
Dhnxer0lClw,UgwaYWZz_DmuDiEWeIh4AaABAg,"The more numerate people, the greater the number who will understand the abysmal financial record of the Tories. The party that has borrowed more and paid back less than Labour since the second world war. While making the population poorer in real terms.",@davidmcculloch8490,2023-01-04 15:36:54+00:00,5
Dhnxer0lClw,Ugx3b5ZMQOFpg1HoHe94AaABAg,excellent 👏👏👏 see how China and Japan make resounding progress on education 👌,@carlosdesousa6712,2023-01-04 15:23:21+00:00,11
Dhnxer0lClw,UgxPEhqWEW-zzeKwgKp4AaABAg,"The UK is short of Mathematicians, but studying until 18yo will make no difference if the person has problems with (a) poor stereopsis of vision (i.e being able to see 3D, patterns and differentiate relevant from irrelevant) (b) suppressed sound processing which impacts on sequencing skills (80% of under 3's experience inner ear infection - that causes a lot of auditory problems (c) poor bi-lateral integration of motor skills so cognitively struggle to understand  left and right or cross their mid-line. UK education has no PE curriculum to support good human development. Rishi Sunak's suggestion that ""mindset"" will change everything is rubbish. We need a primary curriculum that seeks to maximise development.",@fit2learn657,2023-01-04 15:09:59+00:00,16
Dhnxer0lClw,Ugzwa2gjC6v6epTBI0t4AaABAg,Rishi thinks everyone works in financial services.,@julianshepherd2038,2023-01-04 14:58:35+00:00,46
Dhnxer0lClw,Ugwu78gNLmogP0DUP354AaABAg,Still won’t work. Adding 2 additional years at A level standard won’t work. Our competition is covering this curriculum when they 12. More time in school studying is needed. We’re barely putting a shift in when Asia are doing 50 hours a week. I can hear you all squeaking now that’s it’s unfair but the truth is you and your children are dumb by comparison. They have left us behind.,@jabbadabbajew6035,2023-01-04 14:41:20+00:00,0
Dhnxer0lClw,UgxcuCqjtRpa2kTPoTR4AaABAg,"Nope, that's never getting through parliament, the gov knows it and won't even try. This is just a headline grabbing soundbite by a PM who poked his head above the parapet to prove he was still alive.",@tophat593,2023-01-04 14:34:23+00:00,0
Dhnxer0lClw,UgxvEfU5Xfh5DP4_Mcd4AaABAg,"Bet you five bob it will not be the math of risk, finance, statistics or home budgeting. All of which people desperately need to survive in our society. Leave all that to corporations and cults to decide for you. That is how you end up with a population that is more afraid of a vaccine than a terminal disease. And who rent everything and own nothing.",@simontemplar404,2023-01-04 14:33:17+00:00,0
caD1xSvZ6KY,UgxHuQOGUB1Uh3xz4Rd4AaABAg,The Indians and the Chinese kids have been learning pretty complex mathematics since time immemorial.,@Ferdinand..,2023-01-11 18:17:58+00:00,0
caD1xSvZ6KY,Ugz_ShwGFKushBKKPjh4AaABAg,Don’t do it Rishi ... 😅. How else can India and China maintain our edge 😂😂😂,@neoblackcyptron,2023-01-08 01:18:02+00:00,0
caD1xSvZ6KY,UgzLMvgMK17NnnY_-TB4AaABAg,"Current education system is not even able to teach children enough to get 5 GCSE’s , never mind Al level Maths. Schools can barely manage huge class sizes and lack of staff due to poor pay , under funding and shortage of qualified teachers. This guy is a joke, lol at his math when it comes to living standards in this country for the working class and poor , it never adds up.",@britishkashmiri169,2023-01-05 11:26:31+00:00,0
caD1xSvZ6KY,UgznIzSDc4it7nqRI-p4AaABAg,Lol the younger generations will end up having the skills to work out how much the Tory government has screwed them over.,@sid35gb,2023-01-05 11:25:46+00:00,0
caD1xSvZ6KY,UgybsFP4mmSzJnkccFV4AaABAg,"Rishi is another failure “ our door is open , but we got no money “ . We don’t need maths to understand your party ruined this country ! Shows how out of touch he is with reality .",@pauldean8638,2023-01-05 10:53:01+00:00,1
caD1xSvZ6KY,Ugzt-qKyx-7a3Hhwrtl4AaABAg,"Let’s hope they all have suitable housing while studying maths. The housing shortage is appalling in this country, especially social housing. Difficult to study if you’re living in a b and b or hotel, paid fir by struggling local councils!",@dianerawlinson5462,2023-01-05 10:39:35+00:00,1
caD1xSvZ6KY,Ugyr-Z-AXSdtPjbfw9J4AaABAg,"Richi sunak would need a surplus in his budget to lower the debt, Something no tory has managed since 1989. i highly doubt richi can make the UK the 200 billion more we need over the next 12 months just to break even and pay a couple ££ of the national debt. He has already failed on point 3 on day 1.",@TheWiseJames,2023-01-05 10:39:33+00:00,1
caD1xSvZ6KY,UgyxBSsDIIdS1KDdz-14AaABAg,"Is he on this 
Planet suspied idot he needs to do something about the people who can not eat have their heating on 
Immigration and the NHS he dont know the real world and how we live",@sueblackwood6843,2023-01-05 10:35:47+00:00,0
caD1xSvZ6KY,Ugz42CqsVSJK7PCKpmF4AaABAg,The government will be letting our children down. There is no future for our country now as this country is finished.,@simongs99,2023-01-05 10:28:05+00:00,0
caD1xSvZ6KY,UgwIkOtMDlIBp-NnHAd4AaABAg,"Should never have changed the curriculum in the first place.....    all this wet wipe leftist wokeism is killing our way of life, and affecting the way our kids are being taught. When i was at school Maths, English, writing and reading were the most important things to learn, other lessons like science, language and geography and life skills were in place anyway, today the kids come out of school with the arrogance and manners of a baboon...(im sure a baboon has better manners) i feel sorry for the teachers, they must be frustrated with the way they are ""told"" to teach.",@stretchy1260,2023-01-05 10:27:20+00:00,0
caD1xSvZ6KY,UgzASw2AWHC1EI_BPiZ4AaABAg,Then they can work out exactly how much they are being shafted to the nearest decimal point.,@Betterthantelly,2023-01-05 10:26:47+00:00,3
caD1xSvZ6KY,UgyOegOgTmKZOaxrhKF4AaABAg,Glad I'm 19,@waddaboing,2023-01-05 10:26:05+00:00,0
caD1xSvZ6KY,Ugzb-py8S8Nx5P9jr-x4AaABAg,"i am so lucky now that i am at uni 
otherwise the Maths gonna hit my ass hard",@owoffwhite1354,2023-01-05 10:17:31+00:00,1
caD1xSvZ6KY,UgwG9ryTBc5NjsYskgV4AaABAg,"400 illegals have been dumped in the village of creation in Northamptonshire which has a population of 500, well done mr prime minister, what could possibly go wrong 🤔",@julianmorris9951,2023-01-05 10:16:48+00:00,0
caD1xSvZ6KY,UgzQVSWC29tUJmuX09x4AaABAg,"I was in school from 3 to 16. If you cannot teach me useable maths in that time, you need to change your system, not waste more time. How about you teach children NOT to take these loans and credit cards that get shoved at them the second they can legally get them. Teach them how to handle bills and save money. Teach them the reality of life. Not silly maths, its not 1850",@MrSmithington,2023-01-05 10:15:08+00:00,2
caD1xSvZ6KY,UgxiScNAHlu3UTfIIxR4AaABAg,No. When i was young it wasnt an option not to take English and Maths.  Unless times sadly have changed since the 70's,@lindagray8416,2023-01-05 10:14:45+00:00,0
caD1xSvZ6KY,UgzH5v-X0LxkPqipWKp4AaABAg,It’s great that he’s focusing on the big issues. If only Liz and Kwaze had listened to him maybe they wouldn’t have thrown 50 billion quid away...,@coalville1234,2023-01-05 10:11:00+00:00,4
caD1xSvZ6KY,Ugz-7TzhbwQYPUsiBER4AaABAg,"What incompetants the tories are, did he bother checking first before opening his big gob. There is a critical shortage of maths teachers already, where is he going to find additional ones to teach more children?",@JoelJosephson,2023-01-05 10:10:41+00:00,0
caD1xSvZ6KY,UgwfscEW9JI_zSJwxr14AaABAg,"Careful, he may want to teach maths for longer but him and his cronies will have maths twisted to Thier will so no matter how hard you try, 2+2 will equal 3 for you and 1+1 will equal 10 in his favour.",@nathancloke8970,2023-01-05 10:10:13+00:00,0
caD1xSvZ6KY,UgxZF0c1J9B3WZsmUHJ4AaABAg,The best thing about A-levels is the fact you can completely drop subjects that you don’t enjoy. I couldn’t have gone on to be a pro-musician if I had fkin algebra 101 around my neck for two extra years… Stupid idea.,@jameshart2859,2023-01-05 10:07:53+00:00,6
caD1xSvZ6KY,Ugy4yfNp5DVSysZ9WCF4AaABAg,Lol he and his wife need extra Maths help so they can accurately disclose their huge incomes and pay the correct taxes!!,@saschaharper4204,2023-01-05 10:06:36+00:00,4
caD1xSvZ6KY,UgyIAqInBeBp0XRa5o54AaABAg,They won't teach about tax interest rates mortgages investing etc. I wonder why???,@vimtohasatoe1,2023-01-05 10:06:20+00:00,7
caD1xSvZ6KY,UgzbBPviPabiM9GOefZ4AaABAg,What age do they leave school?,@redbeard3923,2023-01-05 10:03:16+00:00,0
caD1xSvZ6KY,UgxCDozDthIIbIgjYtJ4AaABAg,"Please 🤦🏾‍♀️, school math is overated. I have 3 degrees including a masters and I didnt write O level math, I jus didnt get math. Im doing more than fine without math. I got the basics I needed before 15 , no one cares about pythagoras theorems and all. Teach relevant skills and make maths make sense",@Ara-Em,2023-01-05 10:03:02+00:00,1
caD1xSvZ6KY,Ugyxvnoo1FbygKsYG9x4AaABAg,Ďoes he really believe this or is it the New Year drink talking.,@davesmith5382,2023-01-05 10:02:27+00:00,2
caD1xSvZ6KY,UgzkC0Q-iIMrxRJo5L94AaABAg,"Kids are at school for at least 11 years in the U.K. What are they teaching in that time if it’s not reading, writing and arithmetic?",@GoogleBot-lf7xv,2023-01-05 10:01:30+00:00,3
caD1xSvZ6KY,UgxPC8Be_bDPkpgLW0B4AaABAg,"That'll help the country no end, what a waste of oxygen. Try sorting out the 13 years of misrule by your party Sunak for crying out loud, it's your mob that has got us into the sh*tfest we find ourselves in now.",@oh-hello,2023-01-05 09:56:02+00:00,0
caD1xSvZ6KY,UgzifNjiZCmYDKzFv314AaABAg,We need to initiate this in the US.,@primordialmeow7249,2023-01-05 09:39:21+00:00,0
_1UpaUTVqYg,UgwX-zQ2Di5GsiYMJUt4AaABAg,no i am not studying maths richi sunak is stupid enough to say that,@shedzy23251,2023-12-30 21:46:48+00:00,0
_1UpaUTVqYg,Ugy1k8MFpCxkAjqA6nZ4AaABAg,"First, look at how much a math teacher gets paid. After they hear this, what do you think they are going to say?
WHY the **** give me more work but the same pay rate!!!  The students are not going to learn anything if the math teachers are not inspired to teach and continue to develop themselves. With the kind of pay they get, they are already considered ""public service losers"".  Don't pour more misery on them if the Government don't have a plan to recruit serious mathematician that fits the plan. To be honest, it's gonna be hard to recruit serious teachers these days; choosing this job now would end the hope of owning a house and pay-off off student loans in the next 30 years.",@naratipmath,2023-11-13 00:10:49+00:00,0
_1UpaUTVqYg,Ugxc9mwkOJNM001uFjt4AaABAg,"Well this place is idiotic
Off to **** myself",@ackg,2023-10-14 12:58:56+00:00,0
_1UpaUTVqYg,UgzOs4IwC9KTVAWaIIx4AaABAg,Ah yes let’s battle the anti math mindset and boost the economy by learning math we’ll never ever use in our careers and let’s force people who hate math do it to make them like it! 😂😂😂,@ivanexell-uz4mv,2023-10-06 17:43:42+00:00,0
_1UpaUTVqYg,UgwofKa-paHDXLbo8dZ4AaABAg,I hate Maths But I know How important Maths is,@human9512,2023-10-05 13:24:52+00:00,0
_1UpaUTVqYg,UgzFZcHa9YKUmySA4_d4AaABAg,I think it should be compulsory for teens to learn about mental health and how to get support for mental health rather than maths,@juliacarpmail1947,2023-09-24 16:35:06+00:00,0
_1UpaUTVqYg,UgyI9-qXrd3XvFAAw3Z4AaABAg,"Im 56 years old and work retail. In the last 15 years I've had 15yo+ employees who couldn't do mathematics at all even with basic sums, and not only that they couldn't spell little alone write. For once, I think this guy has a point. 🤔",@Andersonstree,2023-06-08 05:05:55+00:00,0
